INSTNM,CITY,STABBR,TUITIONFEE_IN,TUITIONFEE_OUT,GraduationRate
University of Hawaii-West Oahu,Kapolei,HI,7584.0,20544.0,0.4684
Boise Bible College,Boise,ID,11240.0,11240.0,0.4815
Boise State University,Boise,ID,8782.0,26976.0,0.6187
Idaho State University,Pocatello,ID,8356.0,27466.0,0.383
University of Idaho,Moscow,ID,8816.0,29784.0,0.609
The College of Idaho,Caldwell,ID,36030.0,36030.0,0.6412
Lewis-Clark State College,Lewiston,ID,7388.0,21386.0,0.4472
Northwest Nazarene University,Nampa,ID,39370.0,39370.0,0.5993
Brigham Young University-Idaho,Rexburg,ID,4656.0,4656.0,0.5508
College of Southern Idaho,Twin Falls,ID,3360.0,6840.0,0.3509
American Academy of Art College,Chicago,IL,39510.0,39510.0,0.45
School of the Art Institute of Chicago,Chicago,IL,54530.0,54530.0,0.6402
Augustana College,Rock Island,IL,49834.0,49834.0,0.7918
Aurora University,Aurora,IL,28220.0,28220.0,0.5832
Blackburn College,Carlinville,IL,26758.0,26758.0,0.5241
Bradley University,Peoria,IL,39680.0,39680.0,0.7214
Chicago State University,Chicago,IL,12754.0,12754.0,0.1695
University of Chicago,Chicago,IL,66939.0,66939.0,0.9491
Columbia College Chicago,Chicago,IL,32520.0,32520.0,0.4846
Concordia University-Chicago,River Forest,IL,36258.0,36258.0,0.474
DePaul University,Chicago,IL,44460.0,44460.0,0.7
East-West University,Chicago,IL,26100.0,26100.0,0.2295
Eastern Illinois University,Charleston,IL,13403.0,15879.0,0.4517
Elmhurst University,Elmhurst,IL,41628.0,41628.0,0.6519
Eureka College,Eureka,IL,28400.0,28400.0,0.4057
Governors State University,University Park,IL,11320.0,11320.0,0.196
Greenville University,Greenville,IL,30598.0,30598.0,0.5136
Hebrew Theological College,Skokie,IL,14700.0,14700.0,0.7308
University of Illinois Chicago,Chicago,IL,14338.0,29360.0,0.603
Benedictine University,Lisle,IL,34290.0,34290.0,0.5095
University of Illinois Urbana-Champaign,Champaign,IL,16004.0,34501.0,0.8489
Illinois Wesleyan University,Bloomington,IL,55704.0,55704.0,0.8254
Illinois College,Jacksonville,IL,37470.0,37470.0,0.6109
Illinois Institute of Technology,Chicago,IL,51763.0,51763.0,0.7244
Illinois State University,Normal,IL,16021.0,28086.0,0.6632
Judson University,Elgin,IL,30910.0,30910.0,0.5325
Knox College,Galesburg,IL,55587.0,55587.0,0.6751
Lake Forest College,Lake Forest,IL,54202.0,54202.0,0.7042
Lewis University,Romeoville,IL,37882.0,37882.0,0.6256
Lincoln Christian University,Lincoln,IL,15400.0,15400.0,0.5823
Loyola University Chicago,Chicago,IL,51716.0,51716.0,0.7692
McKendree University,Lebanon,IL,34070.0,34070.0,0.5954
